,max 2005-2014,min 2005-2014,max 2015,min 2015
01-01,304.06666666666666,232.93548387096774,263.6666666666667,231.66666666666666
01-02,298.8888888888889,235.32142857142858,301.75,245.0
01-03,304.03333333333336,234.56,308.6666666666667,245.0
01-04,305.2258064516129,229.39285714285714,318.25,243.5
01-05,307.21875,233.48275862068965,321.3333333333333,244.5
01-06,307.1111111111111,233.07407407407408,315.5,245.66666666666666
01-07,305.9259259259259,230.48387096774192,312.25,244.0
01-08,296.7307692307692,233.53571428571428,308.25,240.33333333333334
01-09,293.2173913043478,227.75,282.75,244.0
01-10,291.7083333333333,228.28571428571428,315.3333333333333,237.25
01-11,297.0344827586207,232.43333333333334,303.6666666666667,242.5
01-12,299.8,228.44444444444446,312.3333333333333,250.25
01-13,303.0,231.93548387096774,314.75,247.0
01-14,302.48148148148147,233.9375,314.6666666666667,247.66666666666666
01-15,305.3666666666667,234.79310344827587,313.0,244.0
01-16,307.1333333333333,236.41935483870967,313.5,234.0
01-17,308.57894736842104,232.125,314.0,237.0
01-18,309.5,233.5151515151515,308.5,238.75
01-19,305.0,230.96774193548387,309.0,242.33333333333334
01-20,299.3333333333333,229.70967741935485,311.25,243.75
01-21,310.06451612903226,230.72413793103448,305.25,243.66666666666666
01-22,306.7096774193548,234.7741935483871,311.75,244.0
01-23,310.0416666666667,232.6,309.25,243.66666666666666
01-24,306.875,236.2608695652174,312.0,240.5
01-25,301.84375,231.92,309.0,241.66666666666666
01-26,304.14285714285717,231.78125,311.25,247.33333333333334
01-27,304.96666666666664,229.48275862068965,312.75,233.0
01-28,303.7916666666667,235.85185185185185,316.0,233.0
01-29,304.85185185185185,233.33333333333334,306.0,234.75
01-30,308.48,236.58620689655172,315.5,244.0
01-31,306.3448275862069,232.20833333333334,315.3333333333333,240.0
02-01,306.7586206896552,228.3448275862069,310.25,237.75
02-02,309.125,229.75,278.75,236.66666666666666
02-03,303.5,230.25,293.5,224.0
02-04,302.9642857142857,231.73333333333332,296.25,231.0
02-05,307.6551724137931,233.79310344827587,297.25,239.33333333333334
02-06,308.8709677419355,229.78571428571428,300.0,234.66666666666666
02-07,312.48387096774195,231.27272727272728,290.75,237.25
02-08,311.5483870967742,234.65625,304.75,241.75
02-09,311.6551724137931,233.0,304.75,241.75
02-10,310.7931034482759,234.5,304.25,240.0
02-11,314.0,234.69444444444446,305.75,236.33333333333334
02-12,312.48275862068965,235.59375,306.3333333333333,236.25
02-13,315.14814814814815,236.93333333333334,303.0,233.25
02-14,311.17241379310343,236.57142857142858,308.0,233.25
02-15,316.7083333333333,237.1764705882353,311.0,235.75
02-16,317.741935483871,237.44117647058823,316.0,238.0
02-17,313.28,239.17241379310346,318.5,240.25
02-18,315.44117647058823,234.92857142857142,317.5,232.0
02-19,309.74074074074076,235.2962962962963,290.0,224.0
02-20,311.4074074074074,235.83333333333334,313.25,229.0
02-21,313.62068965517244,235.6551724137931,319.0,241.0
